Year,Month,Week,Infected,Avg household size,Population,Under_18,18-24,25-44,45-64,Above_65,Median_age,indexedCountry,indexedRegion,indexedDisease
2011,4,15,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2011,4,16,1,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2011,4,16,3,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2011,4,16,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2011,4,17,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2011,4,17,1,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2011,4,17,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2011,5,18,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2011,5,18,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2011,5,18,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2011,5,19,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2011,5,19,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2011,5,19,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2011,5,20,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2011,5,20,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2011,5,20,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2011,10,40,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2011,10,40,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2011,10,40,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2011,10,41,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2011,10,41,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2011,10,41,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2011,10,42,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2011,10,42,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2011,10,42,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2011,10,43,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2011,10,43,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2011,10,43,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2011,11,44,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2011,11,44,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2011,11,44,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2011,11,45,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2011,11,45,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2011,11,45,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2011,11,46,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2011,11,46,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2011,11,46,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2011,11,47,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2011,11,47,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2011,11,47,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2011,12,48,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2011,12,48,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2011,12,48,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2011,12,49,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2011,12,49,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2011,12,49,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2011,12,50,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2011,12,50,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2011,12,50,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2011,12,51,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2011,12,51,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2011,12,51,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2011,12,52,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2011,12,52,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2011,12,52,0,2.3,304596,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2012,1,1,0,2.3,305723,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2012,1,1,0,2.3,305723,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2012,1,1,0,2.3,305723,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2012,1,2,0,2.3,305723,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2012,1,2,0,2.3,305723,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2012,1,2,0,2.3,305723,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2012,1,3,0,2.3,305723,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2012,1,3,0,2.3,305723,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2012,1,3,0,2.3,305723,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2012,1,4,0,2.3,305723,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2012,1,4,0,2.3,305723,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2012,1,4,0,2.3,305723,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2012,2,5,0,2.3,305723,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2012,2,5,0,2.3,305723,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2012,2,5,0,2.3,305723,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2012,2,6,0,2.3,305723,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2012,2,6,0,2.3,305723,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2012,2,6,0,2.3,305723,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2012,2,7,0,2.3,305723,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2012,2,7,0,2.3,305723,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2012,2,7,0,2.3,305723,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2012,2,8,0,2.3,305723,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2012,2,8,0,2.3,305723,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2012,2,8,0,2.3,305723,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2012,3,9,0,2.3,305723,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
